EL_Inf,b,start.Time,Current.Time,Diff.Time,cores
0.04379973,1,03:26.4,15:02.8,11.60787181,64
0.132164041,2,03:26.4,14:10.5,10.7364403,64
0.21119182,3,03:26.4,14:14.9,10.80938989,64
0.180791662,4,03:26.4,14:07.6,10.68764948,64
0.218382887,5,03:26.4,14:41.9,11.25857062,64
0.528416782,6,03:26.4,14:24.0,10.96105322,64
0.46983799,7,03:26.4,14:21.3,10.91520714,64
2.504386007,8,03:26.4,14:19.4,10.8846489,64
0.795093751,9,03:26.4,14:26.2,10.99692088,64
0.197713344,10,03:26.4,14:21.5,10.91932674,64
0.151150259,11,03:26.4,14:14.0,10.79328601,64
0.537581744,12,03:26.4,14:39.3,11.21531903,64
0.754828614,13,03:26.4,13:57.3,10.51607059,64
1.018095586,14,03:26.4,14:39.0,11.21126303,64
0.168490791,15,03:26.4,14:24.8,10.97415351,64
0.212326575,16,03:26.4,14:27.6,11.02047751,64
0.20698514,17,03:26.4,15:16.5,11.83633646,64
0.245065789,18,03:26.4,13:49.0,10.37700335,64
0.119347248,19,03:26.4,14:27.3,11.01547082,64
0.147484902,20,03:26.4,15:06.0,11.66043799,64
0.3596631,21,03:26.4,15:06.0,11.66014328,64
0.112477974,22,03:26.4,15:02.6,11.60396339,64
0.320601983,23,03:26.4,14:25.3,10.9824807,64
0.106577264,24,03:26.4,14:57.4,11.51653416,64
0.031875067,25,03:26.4,14:38.9,11.20945557,64
0.118137539,26,03:26.4,13:45.0,10.31110119,64
0.485044487,27,03:26.4,14:14.5,10.80166415,64
0.280400844,28,03:26.4,14:48.3,11.36527766,64
0.340027732,29,03:26.4,14:27.4,11.01658254,64
0.214219872,30,03:26.4,14:03.0,10.61129435,64
0.228798068,31,03:26.4,15:17.9,11.85911285,64
0.104697333,32,03:26.4,14:42.7,11.27258282,64
0.453739136,33,03:26.4,15:13.8,11.79135204,64
0.166803407,34,03:26.4,15:16.8,11.84038447,64
0.050439928,35,03:26.4,14:25.9,10.99306421,64
0.091114841,36,03:26.4,14:16.1,10.82927059,64
0.668286871,37,03:26.4,14:32.9,11.10974497,64
0.130703361,38,03:26.4,15:08.2,11.69678469,64
0.990374816,39,03:26.4,14:06.0,10.66021746,64
0.843061568,40,03:26.4,15:01.1,11.57887497,64
0.666313003,41,03:26.4,14:35.8,11.15671371,64
0.279592728,42,03:26.4,13:37.7,10.18958381,64
