"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
1,2025-06-11 23:26:51.944602,2025-06-11 23:26:54.605778,2.66064190864563,1,38.9593961436433,8
5,2025-06-11 23:26:51.944533,2025-06-11 23:26:54.892438,2.94737601280212,1,68.4914407047913,8
4,2025-06-11 23:26:51.948539,2025-06-11 23:26:55.641714,3.69102001190186,1,18.3335294464751,8
6,2025-06-11 23:26:51.945436,2025-06-11 23:26:56.380246,4.43427896499634,1,14.5628811938318,8
8,2025-06-11 23:26:54.648682,2025-06-11 23:26:57.114317,2.46558499336243,0,8.02303590364659,8
3,2025-06-11 23:26:51.944235,2025-06-11 23:26:57.457426,5.51264810562134,0,8.84905908624485,8
7,2025-06-11 23:26:51.948589,2025-06-11 23:26:57.511703,5.56199097633362,1,15.8051071088293,8
10,2025-06-11 23:26:55.694395,2025-06-11 23:26:58.582984,2.88848495483398,1,17.0069131483593,8
2,2025-06-11 23:26:51.946137,2025-06-11 23:26:59.185482,7.23880314826965,1,38.1491220440965,8
9,2025-06-11 23:26:54.931566,2025-06-11 23:26:59.244272,4.312655210495,0,5.46904346414005,8
12,2025-06-11 23:26:56.5386,2025-06-11 23:26:59.722487,3.1837170124054,0,9.0158171340672,8
13,2025-06-11 23:26:57.133749,2025-06-11 23:26:59.982921,2.84912204742432,0,4.91318969110522,8
15,2025-06-11 23:26:57.561729,2025-06-11 23:27:00.14952,2.5877411365509,0,8.01044064071292,8
16,2025-06-11 23:26:58.60886,2025-06-11 23:27:02.666384,4.05747008323669,1,16.8898540493531,8
14,2025-06-11 23:26:57.500232,2025-06-11 23:27:03.888509,6.3881561756134,1,104.02183484786,8
19,2025-06-11 23:26:59.737728,2025-06-11 23:27:03.9678,4.22995209693909,0,4.24517819960012,8
20,2025-06-11 23:26:59.993145,2025-06-11 23:27:04.253821,4.26062297821045,1,17.8090303459008,8
18,2025-06-11 23:26:59.26343,2025-06-11 23:27:04.487664,5.22416996955872,1,15.8251460032392,8
23,2025-06-11 23:27:00.18845,2025-06-11 23:27:04.816027,4.62751984596252,1,14.7502179684351,8
17,2025-06-11 23:26:59.227333,2025-06-11 23:27:05.89466,6.66720104217529,0,12.0343096108249,8
24,2025-06-11 23:27:02.675049,2025-06-11 23:27:05.970452,3.29535102844238,0,8.8317174156865,8
29,2025-06-11 23:27:04.831199,2025-06-11 23:27:07.804796,2.97348308563232,1,26.0633087430071,8
26,2025-06-11 23:27:03.981961,2025-06-11 23:27:08.958818,4.97680711746216,1,9.85467191690588,8
31,2025-06-11 23:27:05.983523,2025-06-11 23:27:08.959592,2.97594213485718,1,20.6689431311736,8
30,2025-06-11 23:27:05.909565,2025-06-11 23:27:09.139958,3.23033690452576,0,2.89176898841096,8
25,2025-06-11 23:27:03.905301,2025-06-11 23:27:10.870994,6.96563601493835,1,24.5443040544924,8
27,2025-06-11 23:27:04.266422,2025-06-11 23:27:11.266074,6.9996030330658,1,104.039572541812,8
28,2025-06-11 23:27:04.505865,2025-06-11 23:27:11.847586,7.34159994125366,1,26.9122754806521,8
34,2025-06-11 23:27:08.973255,2025-06-11 23:27:13.028041,4.05466890335083,0,7.20988710237565,8
33,2025-06-11 23:27:08.971789,2025-06-11 23:27:13.835263,4.86335802078247,1,2276.08060270548,8
35,2025-06-11 23:27:09.161483,2025-06-11 23:27:14.094011,4.93247509002686,1,28.2081595917213,8
32,2025-06-11 23:27:07.824734,2025-06-11 23:27:14.962801,7.13801503181458,1,56.8704191961941,8
36,2025-06-11 23:27:10.885918,2025-06-11 23:27:15.215348,4.32938003540039,0,10.1578887340006,8
38,2025-06-11 23:27:11.862239,2025-06-11 23:27:16.235332,4.37304306030273,1,11.3948512773386,8
37,2025-06-11 23:27:11.280992,2025-06-11 23:27:16.567133,5.2860860824585,1,23.6963272720988,8
40,2025-06-11 23:27:13.850917,2025-06-11 23:27:16.918657,3.06768584251404,1,43.9830591689139,8
