"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
3,2025-06-21 19:23:36.813982,2025-06-21 19:23:37.51255,0.697923898696899,0,1.88113827932733,8
6,2025-06-21 19:23:36.817231,2025-06-21 19:23:37.509501,0.691197156906128,0,4.760723215585,8
4,2025-06-21 19:23:36.816184,2025-06-21 19:23:37.523891,0.706938982009888,0,0.811132392883637,8
1,2025-06-21 19:23:36.812457,2025-06-21 19:23:37.53492,0.721199989318848,0,12.4699298488757,8
5,2025-06-21 19:23:36.811591,2025-06-21 19:23:37.547064,0.734845876693726,0,1.31350761653675,8
7,2025-06-21 19:23:36.816582,2025-06-21 19:23:37.550611,0.732789039611816,0,4.46546762800145,8
2,2025-06-21 19:23:36.813661,2025-06-21 19:23:37.604949,0.789868116378784,0,2.47094177718319,8
13,2025-06-21 19:23:37.578839,2025-06-21 19:23:38.193297,0.614403009414673,1,44.4737839419459,8
9,2025-06-21 19:23:37.539707,2025-06-21 19:23:38.197587,0.65782904624939,0,11.5198198610769,8
8,2025-06-21 19:23:37.551385,2025-06-21 19:23:38.232752,0.681313991546631,1,12.3707060937705,8
10,2025-06-21 19:23:37.56152,2025-06-21 19:23:38.235198,0.673629999160767,0,8.96810357991782,8
12,2025-06-21 19:23:37.585962,2025-06-21 19:23:38.262478,0.67646312713623,0,8.78935070091895,8
11,2025-06-21 19:23:37.567098,2025-06-21 19:23:38.278958,0.711803913116455,0,3.94683725304248,8
14,2025-06-21 19:23:37.637383,2025-06-21 19:23:38.338709,0.701269865036011,1,20.5632965525096,8
15,2025-06-21 19:23:38.214706,2025-06-21 19:23:38.709596,0.4948410987854,0,4.46912600313522,8
16,2025-06-21 19:23:38.214688,2025-06-21 19:23:38.731839,0.517040014266968,1,28.7322874053681,8
19,2025-06-21 19:23:38.282446,2025-06-21 19:23:38.751219,0.468715906143188,0,5.6055148677899,8
17,2025-06-21 19:23:38.254773,2025-06-21 19:23:38.766479,0.511652946472168,0,5.04414834303395,8
18,2025-06-21 19:23:38.25485,2025-06-21 19:23:38.805181,0.5502769947052,0,8.34545530629878,8
20,2025-06-21 19:23:38.299866,2025-06-21 19:23:38.880186,0.580263137817383,0,3.42874400672414,8
21,2025-06-21 19:23:38.361128,2025-06-21 19:23:38.883221,0.52203893661499,0,10.946854003914,8
22,2025-06-21 19:23:38.727852,2025-06-21 19:23:39.260115,0.532190084457397,0,1.26133157363053,8
23,2025-06-21 19:23:38.75127,2025-06-21 19:23:39.267562,0.516237020492554,0,6.57491143512484,8
26,2025-06-21 19:23:38.824682,2025-06-21 19:23:39.300709,0.475899934768677,0,3.84283113930395,8
24,2025-06-21 19:23:38.771767,2025-06-21 19:23:39.30945,0.537621021270752,0,8.67568053010509,8
25,2025-06-21 19:23:38.785683,2025-06-21 19:23:39.316736,0.5309898853302,1,13.9469458894066,8
28,2025-06-21 19:23:38.902534,2025-06-21 19:23:39.398097,0.495505094528198,0,6.87569992061711,8
27,2025-06-21 19:23:38.899721,2025-06-21 19:23:39.478095,0.57825493812561,0,3.68804886517752,8
30,2025-06-21 19:23:39.288083,2025-06-21 19:23:39.791369,0.503220081329346,1,24.1874869662677,8
29,2025-06-21 19:23:39.282853,2025-06-21 19:23:39.810526,0.527560949325562,0,12.2787284698841,8
32,2025-06-21 19:23:39.327063,2025-06-21 19:23:39.82466,0.497474908828735,0,4.06419820811335,8
33,2025-06-21 19:23:39.333371,2025-06-21 19:23:39.830435,0.497000932693481,1,21.2167218179727,8
31,2025-06-21 19:23:39.320934,2025-06-21 19:23:39.85867,0.537683010101318,0,4.1536169559503,8
34,2025-06-21 19:23:39.412267,2025-06-21 19:23:39.927529,0.51520299911499,0,4.0364247342747,8
35,2025-06-21 19:23:39.495336,2025-06-21 19:23:39.983767,0.488372087478638,0,12.7025691325366,8
