"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
5,2025-06-27 17:14:21.601064,2025-06-27 17:14:22.052651,0.451030015945435,1,68.3988686956798,8
3,2025-06-27 17:14:21.597718,2025-06-27 17:14:22.094903,0.496623039245605,1,24.5865199501363,8
4,2025-06-27 17:14:21.601153,2025-06-27 17:14:22.107844,0.506133079528809,1,123.60052134194,8
7,2025-06-27 17:14:21.597838,2025-06-27 17:14:22.120304,0.521896839141846,1,84.4393757075472,8
2,2025-06-27 17:14:21.597715,2025-06-27 17:14:22.129536,0.531266927719116,1,174.844057077843,8
1,2025-06-27 17:14:21.597715,2025-06-27 17:14:22.131218,0.532923936843872,1,17.752018422823,8
6,2025-06-27 17:14:21.600626,2025-06-27 17:14:22.137198,0.535912990570068,1,14.6909184771866,8
8,2025-06-27 17:14:22.10885,2025-06-27 17:14:22.649059,0.540155172348022,1,10.9743584486202,8
10,2025-06-27 17:14:22.147071,2025-06-27 17:14:22.663499,0.516365051269531,1,21.2199228215241,8
9,2025-06-27 17:14:22.147596,2025-06-27 17:14:22.676137,0.528483867645264,1,13.987645719928,8
11,2025-06-27 17:14:22.161499,2025-06-27 17:14:22.730377,0.568825960159302,1,157.948542420336,8
12,2025-06-27 17:14:22.177231,2025-06-27 17:14:22.736989,0.559700965881348,0,7.1798396495329,8
13,2025-06-27 17:14:22.174871,2025-06-27 17:14:22.742219,0.56729006767273,1,19.4887657202651,8
14,2025-06-27 17:14:22.191931,2025-06-27 17:14:22.744651,0.552666187286377,1,88.9332437769874,8
17,2025-06-27 17:14:22.728662,2025-06-27 17:14:23.213846,0.485122203826904,1,15.3198075936553,8
16,2025-06-27 17:14:22.715639,2025-06-27 17:14:23.243974,0.528275012969971,1,262.421797909895,8
21,2025-06-27 17:14:22.763505,2025-06-27 17:14:23.27002,0.506459951400757,1,55.170441825558,8
19,2025-06-27 17:14:22.75722,2025-06-27 17:14:23.283089,0.525813102722168,1,16.4617928271656,8
15,2025-06-27 17:14:22.702322,2025-06-27 17:14:23.307945,0.605494976043701,1,11.68305947407,8
20,2025-06-27 17:14:22.757332,2025-06-27 17:14:23.328693,0.571306943893433,1,17.6082553359969,8
18,2025-06-27 17:14:22.747754,2025-06-27 17:14:23.330627,0.582803010940552,1,15.4756059777563,8
22,2025-06-27 17:14:23.22754,2025-06-27 17:14:23.673772,0.446174144744873,1,20.6953168597845,8
24,2025-06-27 17:14:23.281356,2025-06-27 17:14:23.702622,0.421210050582886,1,10.9779046522169,8
25,2025-06-27 17:14:23.296904,2025-06-27 17:14:23.710031,0.413069009780884,0,5.99232400294451,8
23,2025-06-27 17:14:23.262044,2025-06-27 17:14:23.708179,0.446022033691406,1,497.044748558872,8
28,2025-06-27 17:14:23.348652,2025-06-27 17:14:23.766461,0.417746067047119,1,84.81517457967,8
27,2025-06-27 17:14:23.344664,2025-06-27 17:14:23.759707,0.414984941482544,1,26.3593128688577,8
26,2025-06-27 17:14:23.327806,2025-06-27 17:14:23.770647,0.4427809715271,1,25.2042532936136,8
29,2025-06-27 17:14:23.692543,2025-06-27 17:14:24.073622,0.380899906158447,1,11.8864293040003,8
30,2025-06-27 17:14:23.718279,2025-06-27 17:14:24.154911,0.436568021774292,1,11.3345436486066,8
32,2025-06-27 17:14:23.729706,2025-06-27 17:14:24.165726,0.435961961746216,1,67.290057703089,8
31,2025-06-27 17:14:23.7296,2025-06-27 17:14:24.178184,0.448525190353394,1,45.720247038928,8
34,2025-06-27 17:14:23.788378,2025-06-27 17:14:24.203652,0.415211200714111,1,25.0381201104994,8
35,2025-06-27 17:14:23.795368,2025-06-27 17:14:24.211202,0.415777921676636,1,37.1164382245278,8
33,2025-06-27 17:14:23.777033,2025-06-27 17:14:24.217049,0.43996000289917,1,14.4229389617047,8
36,2025-06-27 17:14:24.098501,2025-06-27 17:14:24.549787,0.451229095458984,1,23.2952633341291,8
38,2025-06-27 17:14:24.183746,2025-06-27 17:14:24.589508,0.405699968338013,1,17.9833387340458,8
40,2025-06-27 17:14:24.226846,2025-06-27 17:14:24.62144,0.394542217254639,0,10.6784977666952,8
37,2025-06-27 17:14:24.180965,2025-06-27 17:14:24.640667,0.459645986557007,0,2.67938650138416,8
39,2025-06-27 17:14:24.20669,2025-06-27 17:14:24.649025,0.442277908325195,1,19.390667243595,8
41,2025-06-27 17:14:24.237497,2025-06-27 17:14:24.703117,0.465559005737305,1,16.4548305987099,8
42,2025-06-27 17:14:24.245121,2025-06-27 17:14:24.708305,0.463127136230469,1,15.5119364271201,8
43,2025-06-27 17:14:24.589189,2025-06-27 17:14:25.00442,0.415175914764404,1,184.134429390332,8
44,2025-06-27 17:14:24.631207,2025-06-27 17:14:25.064151,0.432874202728271,1,18.6393180434581,8
