"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
4,2025-06-28 05:02:29.357187,2025-06-28 05:02:30.259022,0.901276111602783,0,6.07269400000129,8
6,2025-06-28 05:02:29.35693,2025-06-28 05:02:30.267081,0.908834934234619,1,14.486920314287,8
2,2025-06-28 05:02:29.356771,2025-06-28 05:02:30.285518,0.928193807601929,0,1.93333781251647,8
5,2025-06-28 05:02:29.357166,2025-06-28 05:02:30.292982,0.935247898101807,0,1.80916714134616,8
7,2025-06-28 05:02:29.357167,2025-06-28 05:02:30.306983,0.949251890182495,0,12.8625121728695,8
3,2025-06-28 05:02:29.35675,2025-06-28 05:02:30.541522,1.18420886993408,0,3.4356832483051,8
1,2025-06-28 05:02:29.356699,2025-06-28 05:02:30.593228,1.23591184616089,1,13.4680384823877,8
9,2025-06-28 05:02:30.312534,2025-06-28 05:02:30.929887,0.617305040359497,1,21.3870500384765,8
10,2025-06-28 05:02:30.340247,2025-06-28 05:02:30.946306,0.606001853942871,1,28.6080443725089,8
8,2025-06-28 05:02:30.312145,2025-06-28 05:02:30.960805,0.648550033569336,0,10.2273921078263,8
11,2025-06-28 05:02:30.348803,2025-06-28 05:02:30.963984,0.615124940872192,0,11.0488413947978,8
12,2025-06-28 05:02:30.351084,2025-06-28 05:02:30.984901,0.633768081665039,0,7.93617948829522,8
13,2025-06-28 05:02:30.598587,2025-06-28 05:02:31.268511,0.669810056686401,1,42.5058220105714,8
14,2025-06-28 05:02:30.692755,2025-06-28 05:02:31.299824,0.607017993927002,1,29.9050595515393,8
15,2025-06-28 05:02:30.944052,2025-06-28 05:02:31.464468,0.520359039306641,1,38.6413206271271,8
16,2025-06-28 05:02:30.964265,2025-06-28 05:02:31.488971,0.524648904800415,0,12.6098792003829,8
19,2025-06-28 05:02:30.993816,2025-06-28 05:02:31.502691,0.508816957473755,1,23.8412733125329,8
17,2025-06-28 05:02:30.974998,2025-06-28 05:02:31.50347,0.528419017791748,1,54.3847955602045,8
18,2025-06-28 05:02:30.976001,2025-06-28 05:02:31.517186,0.541127920150757,1,16.3492415725528,8
20,2025-06-28 05:02:31.29274,2025-06-28 05:02:31.782472,0.489677906036377,0,10.3809168859249,8
21,2025-06-28 05:02:31.317754,2025-06-28 05:02:31.810179,0.492370128631592,1,14.2706722590471,8
22,2025-06-28 05:02:31.476506,2025-06-28 05:02:31.987249,0.510684013366699,0,2.14491765737879,8
23,2025-06-28 05:02:31.500507,2025-06-28 05:02:32.017393,0.516768932342529,1,14.9880686466079,8
24,2025-06-28 05:02:31.511217,2025-06-28 05:02:32.021144,0.509872913360596,1,17.6263879987593,8
25,2025-06-28 05:02:31.512079,2025-06-28 05:02:32.039505,0.527363061904907,1,27.7100190183324,8
26,2025-06-28 05:02:31.533779,2025-06-28 05:02:32.040206,0.506362915039062,0,2.92969363817403,8
27,2025-06-28 05:02:31.799057,2025-06-28 05:02:32.334285,0.535170078277588,0,4.21042811178579,8
28,2025-06-28 05:02:31.827886,2025-06-28 05:02:32.377851,0.549907922744751,0,12.2630593084977,8
30,2025-06-28 05:02:32.028723,2025-06-28 05:02:32.527701,0.498924016952515,1,30.0113834093248,8
29,2025-06-28 05:02:32.003751,2025-06-28 05:02:32.537909,0.53410005569458,0,10.3329382531071,8
31,2025-06-28 05:02:32.031406,2025-06-28 05:02:32.555352,0.52389407157898,0,3.95037927669856,8
32,2025-06-28 05:02:32.052888,2025-06-28 05:02:32.570129,0.51718282699585,0,7.81726715200032,8
