"","x"
"1",0.04379973
"2",0.132164041
"3",0.21119182
"4",0.180791662
"5",0.218382887
"6",0.528416782
"7",0.46983799
"8",2.504386007
"9",0.795093751
"10",0.197713344
"11",0.151150259
"12",0.537581744
"13",0.754828614
"14",1.018095586
"15",0.168490791
"16",0.212326575
"17",0.20698514
"18",0.245065789
"19",0.119347248
"20",0.147484902
"21",0.3596631
"22",0.112477974
"23",0.320601983
"24",0.106577264
"25",0.031875067
"26",0.118137539
"27",0.485044487
"28",0.280400844
"29",0.340027732
"30",0.214219872
"31",0.228798068
"32",0.104697333
"33",0.453739136
"34",0.166803407
"35",0.050439928
"36",0.091114841
"37",0.668286871
"38",0.130703361
"39",0.990374816
"40",0.843061568
"41",0.666313003
"42",0.279592728
"43",0.566951495
"44",0.204094571
"45",1.058651114
"46",0.2894919
"47",0.905919071
"48",0.164761883
"49",0.518966505
"50",1.317198975
"51",0.133601966
"52",0.872292102
"53",1.117504289
"54",0.31338471
"55",0.454507117
"56",0.937120796
"57",0.577886885
"58",0.230849286
"59",0.798647315
"60",0.142532879
"61",0.929144032
"62",1.185305767
"63",0.697216542
"64",1.46048113
"65",0.235347115
"66",0.636227768
"67",0.468707375
"68",0.273436699
"69",0.27463244
"70",0.106061657
"71",1.441253436
"72",0.253903282
"73",0.082413354
"74",0.067110685
"75",0.177129766
"76",0.353719174
"77",0.217292786
"78",0.124421987
"79",0.100166882
"80",1.183339918
"81",0.319284681
"82",0.132402463
"83",0.127804436
"84",1.018592066
"85",0.237286795
"86",0.927122233
"87",1.059835435
"88",0.089360551
"89",0.570283623
"90",1.257297888
"91",0.236992563
"92",0.615870146
"93",0.076519648
"94",1.053093297
"95",1.009665343
"96",1.301647796
"97",0.175730143
"98",1.220320776
"99",0.611293758
"100",0.249044723
"101",0.994385801
"102",0.542381224
"103",0.806724269
"104",0.428581841
"105",0.544938242
"106",0.321841281
"107",0.194364527
"108",0.113120484
"109",0.119465678
"110",0.127889663
"111",0.513049189
"112",0.310459196
"113",0.176757715
"114",0.598481213
"115",0.289796049
"116",0.082129062
"117",0.654269238
"118",0.343424143
"119",0.422197296
"120",0.159398082
"121",0.688403475
"122",0.509115584
"123",0.287780114
"124",0.170451007
"125",0.183061013
"126",0.133306008
"127",0.019731962
"128",0.236965015
"129",0.107104334
"130",0.763647415
"131",0.209303831
"132",0.268200071
"133",0.332595072
"134",0.699162038
"135",1.187337427
"136",0.083784797
"137",0.136925296
"138",0.202037514
"139",0.122415975
"140",0.761237291
"141",0.238776311
"142",0.547779974
"143",0.245676676
"144",0.286672239
"145",0.200374544
"146",0.42833512
"147",1.056999314
"148",0.368191285
"149",0.154640256
"150",0.304637385
"151",0.803304492
"152",0.426293869
"153",2.766831748
"154",0.092426028
"155",0.190400001
"156",0.354304504
"157",1.179190145
"158",1.30547016
"159",0.436574057
"160",0.723806475
