"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
3,2025-07-02 01:08:01.33711,2025-07-02 01:08:01.73238,0.394109964370728,0,2.46122364408939,8
2,2025-07-02 01:08:01.334246,2025-07-02 01:08:01.773815,0.439019918441772,0,0.634059251998024,8
6,2025-07-02 01:08:01.334245,2025-07-02 01:08:01.777594,0.44279408454895,0,7.86054353492139,8
4,2025-07-02 01:08:01.336157,2025-07-02 01:08:01.80101,0.46428918838501,0,0.0725306772558304,8
1,2025-07-02 01:08:01.334265,2025-07-02 01:08:01.824081,0.488532066345215,0,0.220335261772951,8
5,2025-07-02 01:08:01.334628,2025-07-02 01:08:01.860235,0.52504301071167,0,6.2943070596897,8
7,2025-07-02 01:08:01.336113,2025-07-02 01:08:01.970562,0.633903980255127,0,4.24719912121804,8
8,2025-07-02 01:08:01.778168,2025-07-02 01:08:02.223542,0.445323944091797,0,6.95344600357703,8
10,2025-07-02 01:08:01.818701,2025-07-02 01:08:02.244666,0.425900220870972,0,0.709912664708384,8
11,2025-07-02 01:08:01.831917,2025-07-02 01:08:02.283382,0.451415061950684,0,0.868663098948829,8
9,2025-07-02 01:08:01.808408,2025-07-02 01:08:02.309594,0.501135110855103,0,0.172045245687184,8
13,2025-07-02 01:08:01.905172,2025-07-02 01:08:02.331105,0.425879001617432,0,0.796555234546308,8
12,2025-07-02 01:08:01.870642,2025-07-02 01:08:02.34949,0.478796005249023,0,1.00411176369359,8
14,2025-07-02 01:08:02.01677,2025-07-02 01:08:02.550164,0.533339977264404,0,6.06384853789741,8
16,2025-07-02 01:08:02.260786,2025-07-02 01:08:02.611612,0.350771903991699,0,0.450269008828582,8
15,2025-07-02 01:08:02.237184,2025-07-02 01:08:02.63291,0.395673990249634,0,2.02110358579008,8
17,2025-07-02 01:08:02.299243,2025-07-02 01:08:02.651316,0.352018117904663,1,15.7770574496151,8
18,2025-07-02 01:08:02.327347,2025-07-02 01:08:02.673581,0.346118927001953,0,3.03563069045982,8
19,2025-07-02 01:08:02.343191,2025-07-02 01:08:02.704658,0.361343145370483,0,5.12811604328619,8
20,2025-07-02 01:08:02.36644,2025-07-02 01:08:02.758784,0.392286062240601,0,4.4880777773763,8
21,2025-07-02 01:08:02.564532,2025-07-02 01:08:02.93916,0.374572038650513,0,3.42390296801949,8
22,2025-07-02 01:08:02.626753,2025-07-02 01:08:02.982791,0.355980157852173,0,2.25402680820518,8
23,2025-07-02 01:08:02.649907,2025-07-02 01:08:03.092718,0.442747831344604,0,2.2146040899326,8
24,2025-07-02 01:08:02.662017,2025-07-02 01:08:03.098464,0.436389923095703,0,0.90278113830757,8
25,2025-07-02 01:08:02.690237,2025-07-02 01:08:03.100512,0.41021203994751,0,0.487506719820105,8
26,2025-07-02 01:08:02.738725,2025-07-02 01:08:03.124205,0.385420083999634,1,13.5273119402343,8
27,2025-07-02 01:08:02.775836,2025-07-02 01:08:03.202937,0.427045106887817,0,1.05346358887146,8
28,2025-07-02 01:08:02.951992,2025-07-02 01:08:03.347349,0.395307064056396,0,3.36880252874439,8
29,2025-07-02 01:08:03.006067,2025-07-02 01:08:03.395566,0.389440059661865,0,3.02554392773221,8
30,2025-07-02 01:08:03.105295,2025-07-02 01:08:03.456248,0.350821018218994,0,3.4135112679882,8
31,2025-07-02 01:08:03.109261,2025-07-02 01:08:03.493355,0.384035110473633,0,0.988911722419186,8
33,2025-07-02 01:08:03.140071,2025-07-02 01:08:03.511536,0.371405839920044,0,1.61960095691267,8
32,2025-07-02 01:08:03.115384,2025-07-02 01:08:03.53323,0.417791843414307,0,4.70332651216651,8
