"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
5,2025-06-25 23:17:13.942178,2025-06-25 23:17:14.397052,0.454310894012451,0,3.1104939248625e-15,8
4,2025-06-25 23:17:13.941929,2025-06-25 23:17:14.401796,0.459233045578003,0,6.49825048095706,8
6,2025-06-25 23:17:13.942196,2025-06-25 23:17:14.411111,0.468354940414429,0,3.12664478566465,8
1,2025-06-25 23:17:13.941791,2025-06-25 23:17:14.420885,0.478554964065552,0,4.19535989151187,8
3,2025-06-25 23:17:13.941822,2025-06-25 23:17:14.440305,0.497909784317017,0,8.22727075793436,8
7,2025-06-25 23:17:13.942203,2025-06-25 23:17:14.451092,0.508322954177856,1,12.2192142943743,8
2,2025-06-25 23:17:13.941792,2025-06-25 23:17:14.554922,0.612550973892212,0,0.089999827580454,8
8,2025-06-25 23:17:14.432755,2025-06-25 23:17:14.962842,0.530027866363525,0,0.69468785250319,8
9,2025-06-25 23:17:14.439904,2025-06-25 23:17:14.986837,0.546880006790161,0,0.594635978824616,8
11,2025-06-25 23:17:14.463028,2025-06-25 23:17:15.048423,0.585326910018921,0,1.18487216387644,8
12,2025-06-25 23:17:14.477979,2025-06-25 23:17:15.059247,0.581218957901001,0,0.802352313260233,8
13,2025-06-25 23:17:14.505001,2025-06-25 23:17:15.068067,0.563013076782227,0,3.90766448270687,8
10,2025-06-25 23:17:14.447986,2025-06-25 23:17:15.110596,0.662544965744019,1,11.3550758467108,8
14,2025-06-25 23:17:14.605437,2025-06-25 23:17:15.140322,0.5347580909729,0,4.10879037447467,8
15,2025-06-25 23:17:14.988204,2025-06-25 23:17:15.350859,0.362589836120605,0,7.43679189346883e-13,8
16,2025-06-25 23:17:15.004491,2025-06-25 23:17:15.396651,0.392102003097534,0,8.4538782765611,8
17,2025-06-25 23:17:15.065402,2025-06-25 23:17:15.399787,0.334326028823853,0,8.3319192443255,8
19,2025-06-25 23:17:15.080313,2025-06-25 23:17:15.441104,0.360733032226562,1,28.6249885630714,8
20,2025-06-25 23:17:15.128846,2025-06-25 23:17:15.506836,0.377936124801636,0,0.906023189067964,8
21,2025-06-25 23:17:15.152298,2025-06-25 23:17:15.550211,0.397853136062622,0,1.21431570945963,8
18,2025-06-25 23:17:15.071998,2025-06-25 23:17:15.659135,0.587000131607056,0,5.73760478368776,8
23,2025-06-25 23:17:15.406391,2025-06-25 23:17:15.844608,0.438161849975586,0,0.702857266305917,8
22,2025-06-25 23:17:15.367326,2025-06-25 23:17:15.930408,0.562964916229248,1,14.9679073840583,8
25,2025-06-25 23:17:15.458481,2025-06-25 23:17:15.94619,0.487648010253906,0,0.167677410260837,8
26,2025-06-25 23:17:15.524742,2025-06-25 23:17:16.013084,0.488287925720215,0,0.533319011748814,8
27,2025-06-25 23:17:15.565823,2025-06-25 23:17:16.030258,0.464385986328125,0,3.21971380621132,8
24,2025-06-25 23:17:15.412351,2025-06-25 23:17:16.073061,0.660649061203003,1,20.9248479960214,8
28,2025-06-25 23:17:15.671579,2025-06-25 23:17:16.111503,0.43987512588501,0,2.8961572469152,8
29,2025-06-25 23:17:15.855358,2025-06-25 23:17:16.274692,0.41927695274353,0,2.72149176813263,8
30,2025-06-25 23:17:15.945939,2025-06-25 23:17:16.352852,0.406858921051025,0,0.751149750763603,8
31,2025-06-25 23:17:15.964404,2025-06-25 23:17:16.400129,0.435667037963867,0,11.0534648280837,8
32,2025-06-25 23:17:16.025251,2025-06-25 23:17:16.473902,0.448590040206909,0,0.807720402058936,8
33,2025-06-25 23:17:16.049553,2025-06-25 23:17:16.485833,0.43616795539856,0,9.1006232903555,8
34,2025-06-25 23:17:16.08619,2025-06-25 23:17:16.542561,0.456314086914062,0,2.55302384929078,8
35,2025-06-25 23:17:16.119375,2025-06-25 23:17:16.570211,0.45077919960022,0,2.39751526920906,8
37,2025-06-25 23:17:16.364556,2025-06-25 23:17:16.765781,0.401160001754761,0,4.13658595822246,8
36,2025-06-25 23:17:16.293986,2025-06-25 23:17:16.800912,0.506870985031128,0,3.52665497030618,8
38,2025-06-25 23:17:16.416785,2025-06-25 23:17:16.806519,0.389656066894531,1,16.1420508689287,8
39,2025-06-25 23:17:16.489355,2025-06-25 23:17:16.847415,0.358000993728638,0,1.41980055112921,8
40,2025-06-25 23:17:16.496142,2025-06-25 23:17:16.901717,0.405520915985107,0,7.62288622446249,8
42,2025-06-25 23:17:16.592447,2025-06-25 23:17:16.960937,0.368376016616821,0,5.50524563612503,8
41,2025-06-25 23:17:16.562181,2025-06-25 23:17:17.005591,0.443353176116943,0,3.69943418863312,8
43,2025-06-25 23:17:16.779409,2025-06-25 23:17:17.170473,0.390941858291626,0,0.81320867260518,8
45,2025-06-25 23:17:16.849359,2025-06-25 23:17:17.206546,0.357126951217651,0,6.41717657315011,8
44,2025-06-25 23:17:16.809359,2025-06-25 23:17:17.24456,0.435148000717163,1,15.7853871320234,8
46,2025-06-25 23:17:16.860619,2025-06-25 23:17:17.24273,0.38205099105835,1,12.1255897101888,8
47,2025-06-25 23:17:16.91578,2025-06-25 23:17:17.304625,0.388791084289551,0,0.358712295348011,8
48,2025-06-25 23:17:16.979381,2025-06-25 23:17:17.367934,0.388501882553101,0,2.57195956563484,8
49,2025-06-25 23:17:17.016974,2025-06-25 23:17:17.424523,0.407493114471436,0,5.50597646926637,8
50,2025-06-25 23:17:17.188346,2025-06-25 23:17:17.579878,0.391474008560181,0,3.2926439506543,8
51,2025-06-25 23:17:17.221445,2025-06-25 23:17:17.626075,0.4045729637146,1,15.5194630159332,8
53,2025-06-25 23:17:17.256371,2025-06-25 23:17:17.644703,0.38827109336853,0,5.14241609309132,8
52,2025-06-25 23:17:17.255993,2025-06-25 23:17:17.687795,0.431739091873169,0,0.71814941433063,8
54,2025-06-25 23:17:17.319273,2025-06-25 23:17:17.735323,0.415996074676514,0,1.47128608202439,8
56,2025-06-25 23:17:17.437099,2025-06-25 23:17:17.816776,0.379624128341675,0,1.00763518755937,8
55,2025-06-25 23:17:17.380439,2025-06-25 23:17:17.824527,0.444030046463013,1,16.5551453616195,8
58,2025-06-25 23:17:17.637651,2025-06-25 23:17:18.030221,0.392508983612061,0,3.86514146060787,8
59,2025-06-25 23:17:17.658507,2025-06-25 23:17:18.077851,0.41928505897522,0,4.37139927058267,8
61,2025-06-25 23:17:17.754379,2025-06-25 23:17:18.085314,0.330880165100098,0,2.01514048805278,8
57,2025-06-25 23:17:17.597262,2025-06-25 23:17:18.131345,0.533963203430176,1,25.8153353060761,8
60,2025-06-25 23:17:17.699826,2025-06-25 23:17:18.215087,0.515130043029785,1,12.3628272526219,8
62,2025-06-25 23:17:17.831315,2025-06-25 23:17:18.22956,0.398191928863525,0,2.25924679482427,8
64,2025-06-25 23:17:18.04399,2025-06-25 23:17:18.432576,0.388523817062378,1,11.5796861065702,8
63,2025-06-25 23:17:17.836241,2025-06-25 23:17:18.487122,0.650822877883911,1,23.9538681768045,8
65,2025-06-25 23:17:18.08753,2025-06-25 23:17:18.492353,0.404767990112305,0,4.69840167190348,8
66,2025-06-25 23:17:18.0962,2025-06-25 23:17:18.545334,0.449079990386963,1,9.49516343893863,8
68,2025-06-25 23:17:18.230337,2025-06-25 23:17:18.583506,0.353044986724854,0,0.241521443080867,8
67,2025-06-25 23:17:18.147744,2025-06-25 23:17:18.638495,0.490698099136353,0,2.67173242254471,8
69,2025-06-25 23:17:18.238516,2025-06-25 23:17:18.668693,0.430122852325439,1,10.5165478931598,8
70,2025-06-25 23:17:18.445989,2025-06-25 23:17:18.810671,0.364626884460449,0,8.37459874977334,8
72,2025-06-25 23:17:18.50515,2025-06-25 23:17:18.906275,0.401072978973389,0,0.571936892428925,8
71,2025-06-25 23:17:18.497359,2025-06-25 23:17:18.927973,0.430550098419189,0,4.54727687986911,8
73,2025-06-25 23:17:18.557534,2025-06-25 23:17:18.962587,0.40493106842041,0,3.69307007346028,8
74,2025-06-25 23:17:18.60401,2025-06-25 23:17:18.988549,0.384477853775024,0,10.2092006233855,8
75,2025-06-25 23:17:18.648183,2025-06-25 23:17:19.014669,0.366430997848511,1,13.241989652627,8
76,2025-06-25 23:17:18.683733,2025-06-25 23:17:19.069054,0.385267019271851,0,3.82871857767621,8
