"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
5,2025-06-21 19:29:08.601343,2025-06-21 19:29:09.140165,0.538280010223389,0,6.19725747556685,8
7,2025-06-21 19:29:08.598679,2025-06-21 19:29:09.162269,0.563043117523193,1,13.9125592811428,8
4,2025-06-21 19:29:08.602696,2025-06-21 19:29:09.173347,0.569469928741455,0,4.0560683019428,8
2,2025-06-21 19:29:08.598585,2025-06-21 19:29:09.190149,0.591004848480225,0,4.72646232073267,8
3,2025-06-21 19:29:08.598569,2025-06-21 19:29:09.205045,0.605929851531982,1,23.1686840245123,8
6,2025-06-21 19:29:08.602317,2025-06-21 19:29:09.218096,0.615170001983643,1,13.4879369817048,8
1,2025-06-21 19:29:08.598564,2025-06-21 19:29:09.243051,0.643321990966797,1,15.9502706371495,8
9,2025-06-21 19:29:09.19516,2025-06-21 19:29:09.855931,0.66071605682373,1,24.2353056939936,8
8,2025-06-21 19:29:09.178678,2025-06-21 19:29:09.855646,0.676920175552368,1,28.0900350833788,8
10,2025-06-21 19:29:09.204793,2025-06-21 19:29:09.86679,0.661943912506104,1,26.5971953577638,8
11,2025-06-21 19:29:09.22515,2025-06-21 19:29:09.911357,0.686151027679443,0,6.88136530986934,8
12,2025-06-21 19:29:09.235984,2025-06-21 19:29:09.965359,0.729320049285889,0,8.7818813351791,8
13,2025-06-21 19:29:09.254091,2025-06-21 19:29:10.023647,0.7694411277771,1,57.2977952409989,8
14,2025-06-21 19:29:09.283003,2025-06-21 19:29:10.07264,0.789586067199707,1,109.996058162291,8
17,2025-06-21 19:29:09.875802,2025-06-21 19:29:10.385999,0.510138034820557,0,7.30882107944318,8
15,2025-06-21 19:29:09.868225,2025-06-21 19:29:10.40581,0.537412881851196,0,10.5430525217157,8
16,2025-06-21 19:29:09.868452,2025-06-21 19:29:10.412737,0.544233083724976,1,176.050028820068,8
19,2025-06-21 19:29:09.980067,2025-06-21 19:29:10.501197,0.521075010299683,0,11.7296787364804,8
18,2025-06-21 19:29:09.923912,2025-06-21 19:29:10.528053,0.604014873504639,1,19.2290716518551,8
20,2025-06-21 19:29:10.049051,2025-06-21 19:29:10.580688,0.531583070755005,1,23.5717558799919,8
21,2025-06-21 19:29:10.08437,2025-06-21 19:29:10.652744,0.568313837051392,1,19.4738069175202,8
23,2025-06-21 19:29:10.424623,2025-06-21 19:29:10.99203,0.567350149154663,0,7.1881585262529,8
24,2025-06-21 19:29:10.43673,2025-06-21 19:29:10.993784,0.557003021240234,1,16.3355331668977,8
22,2025-06-21 19:29:10.402232,2025-06-21 19:29:10.99932,0.597030878067017,0,6.47794375501404,8
25,2025-06-21 19:29:10.522234,2025-06-21 19:29:11.155696,0.633401870727539,1,85.4952276662396,8
27,2025-06-21 19:29:10.589385,2025-06-21 19:29:11.246669,0.657166957855225,0,8.27762400661241,8
28,2025-06-21 19:29:10.674605,2025-06-21 19:29:11.324429,0.649770021438599,1,19.2031801705162,8
26,2025-06-21 19:29:10.545787,2025-06-21 19:29:11.380873,0.835022926330566,1,11.7796095512865,8
30,2025-06-21 19:29:11.063937,2025-06-21 19:29:11.634737,0.570742845535278,1,49.0063771704953,8
