"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
1,2025-06-21 19:44:20.104662,2025-06-21 19:44:20.784805,0.678961992263794,1,84.6387229606612,8
5,2025-06-21 19:44:20.107352,2025-06-21 19:44:20.799252,0.691250801086426,1,24.5224089992373,8
3,2025-06-21 19:44:20.111408,2025-06-21 19:44:20.798389,0.686430931091309,1,12.5099163487425,8
2,2025-06-21 19:44:20.104726,2025-06-21 19:44:20.849674,0.744354963302612,1,14.8466589225407,8
7,2025-06-21 19:44:20.112073,2025-06-21 19:44:20.851914,0.738823890686035,1,33.0094130531729,8
6,2025-06-21 19:44:20.111429,2025-06-21 19:44:20.855808,0.743795156478882,1,25.2079901619244,8
4,2025-06-21 19:44:20.104863,2025-06-21 19:44:20.935055,0.829041957855225,0,10.8273223553459,8
8,2025-06-21 19:44:20.825057,2025-06-21 19:44:21.559385,0.734272003173828,1,66.2229996393255,8
10,2025-06-21 19:44:20.840458,2025-06-21 19:44:21.573492,0.732795000076294,1,56.2426409521669,8
9,2025-06-21 19:44:20.842315,2025-06-21 19:44:21.584247,0.741750955581665,1,50.675714095232,8
13,2025-06-21 19:44:20.896051,2025-06-21 19:44:21.618922,0.722817897796631,1,897.864284960422,8
12,2025-06-21 19:44:20.897219,2025-06-21 19:44:21.622769,0.725488901138306,1,27.7322037785968,8
11,2025-06-21 19:44:20.889692,2025-06-21 19:44:21.626567,0.736823081970215,1,28.7359158015469,8
14,2025-06-21 19:44:20.995049,2025-06-21 19:44:21.79406,0.798897981643677,1,195.135430328898,8
15,2025-06-21 19:44:21.580887,2025-06-21 19:44:22.162438,0.581495046615601,1,24.722811512535,8
16,2025-06-21 19:44:21.593379,2025-06-21 19:44:22.194316,0.600877046585083,1,305.864985524352,8
18,2025-06-21 19:44:21.637215,2025-06-21 19:44:22.219507,0.582230091094971,1,41.4578592578689,8
17,2025-06-21 19:44:21.603868,2025-06-21 19:44:22.245307,0.641380071640015,1,23.4548138626339,8
19,2025-06-21 19:44:21.639657,2025-06-21 19:44:22.252851,0.613070964813232,1,33.2310528032207,8
20,2025-06-21 19:44:21.64387,2025-06-21 19:44:22.252941,0.608750820159912,1,29.7698044332566,8
21,2025-06-21 19:44:21.810505,2025-06-21 19:44:22.399343,0.588788032531738,1,66.099887783559,8
22,2025-06-21 19:44:22.184058,2025-06-21 19:44:22.776308,0.592187881469727,1,22.3373545998085,8
24,2025-06-21 19:44:22.238237,2025-06-21 19:44:22.779364,0.54107403755188,1,47.4924254982502,8
23,2025-06-21 19:44:22.214723,2025-06-21 19:44:22.798818,0.584030866622925,1,37.4033333057751,8
27,2025-06-21 19:44:22.266612,2025-06-21 19:44:22.80435,0.53759503364563,1,47.0575806680503,8
25,2025-06-21 19:44:22.261153,2025-06-21 19:44:22.807186,0.545971870422363,1,55.8312498446996,8
26,2025-06-21 19:44:22.266105,2025-06-21 19:44:22.959303,0.693083047866821,1,42.328351042301,8
28,2025-06-21 19:44:22.420056,2025-06-21 19:44:23.012913,0.592792987823486,1,27.0821363355156,8
29,2025-06-21 19:44:22.793215,2025-06-21 19:44:23.344884,0.551613092422485,1,205.844187932524,8
31,2025-06-21 19:44:22.812738,2025-06-21 19:44:23.352116,0.539324998855591,1,40.9951059070353,8
32,2025-06-21 19:44:22.820307,2025-06-21 19:44:23.357527,0.537158966064453,1,33.9233265230679,8
33,2025-06-21 19:44:22.823164,2025-06-21 19:44:23.378792,0.555500030517578,1,197.381226969538,8
30,2025-06-21 19:44:22.79861,2025-06-21 19:44:23.39585,0.597177982330322,1,90.5234023608781,8
34,2025-06-21 19:44:22.979709,2025-06-21 19:44:23.527587,0.547817945480347,1,22.1448626114231,8
35,2025-06-21 19:44:23.03235,2025-06-21 19:44:23.566118,0.533689975738525,1,54.056377523822,8
37,2025-06-21 19:44:23.364169,2025-06-21 19:44:23.895959,0.531737804412842,1,25.7558123049069,8
40,2025-06-21 19:44:23.40976,2025-06-21 19:44:23.893228,0.483407974243164,1,240.138321638251,8
39,2025-06-21 19:44:23.404455,2025-06-21 19:44:23.91274,0.508230924606323,1,22.2194399252596,8
36,2025-06-21 19:44:23.361197,2025-06-21 19:44:23.922627,0.56137490272522,1,34.9451336131286,8
38,2025-06-21 19:44:23.406173,2025-06-21 19:44:23.941264,0.534975051879883,1,38.6395592751219,8
41,2025-06-21 19:44:23.5449,2025-06-21 19:44:24.08215,0.537191867828369,1,30.0295651570514,8
42,2025-06-21 19:44:23.586969,2025-06-21 19:44:24.217302,0.630278825759888,1,57.9761668278582,8
43,2025-06-21 19:44:23.909729,2025-06-21 19:44:24.448025,0.538238048553467,1,27.1067077740215,8
45,2025-06-21 19:44:23.935408,2025-06-21 19:44:24.469541,0.534080028533936,1,35.9898087420721,8
44,2025-06-21 19:44:23.913382,2025-06-21 19:44:24.470028,0.556524038314819,1,240.157673707662,8
46,2025-06-21 19:44:23.946645,2025-06-21 19:44:24.483369,0.536592960357666,1,175.740518765239,8
47,2025-06-21 19:44:23.963821,2025-06-21 19:44:24.493319,0.529443025588989,1,38.829429833023,8
48,2025-06-21 19:44:24.103139,2025-06-21 19:44:24.634499,0.531306028366089,1,61.8454079006598,8
49,2025-06-21 19:44:24.235864,2025-06-21 19:44:24.773201,0.53721809387207,1,30.0683914235009,8
