"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
3,2025-06-21 19:49:57.865396,2025-06-21 19:49:58.424599,0.558659076690674,0,9.15334807732088,8
6,2025-06-21 19:49:57.865449,2025-06-21 19:49:58.438924,0.572929859161377,0,9.07727502919453,8
5,2025-06-21 19:49:57.871232,2025-06-21 19:49:58.458389,0.586566209793091,0,9.13483512248396,8
4,2025-06-21 19:49:57.87127,2025-06-21 19:49:58.470659,0.598837852478027,1,16.0187845090047,8
2,2025-06-21 19:49:57.865333,2025-06-21 19:49:58.466401,0.600497961044312,1,13.0222114049468,8
1,2025-06-21 19:49:57.865333,2025-06-21 19:49:58.479789,0.61388897895813,0,7.06655586293632,8
7,2025-06-21 19:49:57.871231,2025-06-21 19:49:58.484365,0.612533092498779,1,14.343589292782,8
8,2025-06-21 19:49:58.472214,2025-06-21 19:49:59.10754,0.635274887084961,1,19.9128090220381,8
10,2025-06-21 19:49:58.495059,2025-06-21 19:49:59.126686,0.631571769714355,1,13.6583675213842,8
9,2025-06-21 19:49:58.484702,2025-06-21 19:49:59.137281,0.652522087097168,1,13.0485539798985,8
12,2025-06-21 19:49:58.512502,2025-06-21 19:49:59.139474,0.626919031143188,0,6.33290312643896,8
14,2025-06-21 19:49:58.518234,2025-06-21 19:49:59.170263,0.651978015899658,1,22.8307341808641,8
11,2025-06-21 19:49:58.512275,2025-06-21 19:49:59.189275,0.67694902420044,0,4.41862635082739,8
13,2025-06-21 19:49:58.523627,2025-06-21 19:49:59.195289,0.671600103378296,1,28.0634298624156,8
15,2025-06-21 19:49:59.132649,2025-06-21 19:49:59.645556,0.512852907180786,1,13.217846849059,8
16,2025-06-21 19:49:59.148399,2025-06-21 19:49:59.680132,0.531668901443481,0,8.92984280474764,8
19,2025-06-21 19:49:59.199914,2025-06-21 19:49:59.703567,0.503597021102905,0,5.52480148613846,8
17,2025-06-21 19:49:59.172225,2025-06-21 19:49:59.722816,0.550534009933472,0,4.85036318459112,8
18,2025-06-21 19:49:59.174706,2025-06-21 19:49:59.732065,0.557302951812744,0,6.47261915699945,8
20,2025-06-21 19:49:59.206353,2025-06-21 19:49:59.748899,0.542485952377319,1,15.1397540931325,8
21,2025-06-21 19:49:59.213409,2025-06-21 19:49:59.778016,0.564548015594482,1,24.7915371486053,8
23,2025-06-21 19:49:59.70157,2025-06-21 19:50:00.215327,0.513704061508179,0,12.3457537223262,8
